MEDALIST;COUNTRY;ISTEAM
KU Bonchan;KOR;False
Republic of Korea;KOR;True
CHANG Hyejin;KOR;False
WHITLOCK Max;GBR;False
HAMBUECHEN Fabian;GER;False
UCHIMURA Kohei;JPN;False
VERNIAIEV Oleg;UKR;False
PETROUNIAS Eleftherios;GRE;False
Japan;JPN;True
RI Se Gwang;PRK;False
WEVERS Sanne;NED;False
BILES Simone;USA;False
United States;USA;True
MUSTAFINA Aliya;RUS;False
FARAH Mohamed;GBR;False
BOLT Usain;JAM;False
MCLEOD Omar;JAM;False
CENTROWITZ Matthew;USA;False
WANG Zhen;CHN;False
KIPRUTO Conseslus;KEN;False
Jamaica;JAM;True
VAN NIEKERK Wayde;RSA;False
CLEMENT Kerron;USA;False
TOTH Matej;SVK;False
RUDISHA David Lekuta;KEN;False
EATON Ashton;USA;False
HARTING Christoph;GER;False
NAZAROV Dilshod;TJK;False
DROUIN Derek;CAN;False
ROHLER Thomas;GER;False
HENDERSON Jeff;USA;False
KIPCHOGE Eliud;KEN;False
DA SILVA Thiago Braz;BRA;False
CROUSER Ryan;USA;False
TAYLOR Christian;USA;False
AYANA Almaz;ETH;False
THOMPSON Elaine;JAM;False
ROLLINS Brianna;USA;False
KIPYEGON Faith Chepngetich;KEN;False
LIU Hong;CHN;False
JEBET Ruth;BRN;False
MILLER Shaunae;BAH;False
MUHAMMAD Dalilah;USA;False
CHERUIYOT Vivian Jepkemoi;KEN;False
SEMENYA Caster;RSA;False
PERKOVIC Sandra;CRO;False
WLODARCZYK Anita;POL;False
THIAM Nafissatou;BEL;False
BEITIA Ruth;ESP;False
KOLAK Sara;CRO;False
BARTOLETTA Tianna;USA;False
SUMGONG Jemima Jelagat;KEN;False
STEFANIDI Ekaterini;GRE;False
CARTER Michelle;USA;False
IBARGUEN Caterine;COL;False
Zhang / Fu;CHN;True
CHEN Long;CHN;False
Natsir / Ahmad;INA;True
Takahashi / Matsutomo;JPN;True
MARIN Carolina;ESP;False
Cerutti / Oscar Schmidt;BRA;True
Ludwig / Walkenhorst;GER;True
RAMIREZ Robeisy;CUB;False
ZOIROV Shakhobidin;UZB;False
TISHCHENKO Evgeny;RUS;False
CONCEICAO Robson;BRA;False
DUSMATOV Hasanboy;UZB;False
LA CRUZ Julio Cesar;CUB;False
GAIBNAZAROV Fazliddin;UZB;False
LOPEZ Arlen;CUB;False
YOKA Tony Victor James;FRA;False
YELEUSSINOV Daniyar;KAZ;False
ADAMS Nicola;GBR;False
MOSSELY Estelle;FRA;False
SHIELDS Claressa Maria;USA;False
Skantar / Skantar;SVK;True
GARGAUD CHANUT Denis;FRA;False
CLARKE Joseph;GBR;False
CHOURRAUT Maialen;ESP;False
Brendel / Vandrey;GER;True
BRENDEL Sebastian;GER;False
CHEBAN Iurii;UKR;False
Gross / Rendschmidt;GER;True
Craviotto / Toro;ESP;True
Germany;GER;True
WALZ Marcus;ESP;False
HEATH Liam;GBR;False
Kozak / Szabo;HUN;True
Hungary;HUN;True
CARRINGTON Lisa;NZL;False
KOZAK Danuta;HUN;False
FIELDS Connor;USA;False
PAJON Mariana;COL;False
SCHURTER Nino;SUI;False
RISSVEDS Jenny;SWE;False
CANCELLARA Fabian;SUI;False
VAN AVERMAET Greg;BEL;False
ARMSTRONG Kristin;USA;False
VAN DER BREGGEN Anna;NED;False
KENNY Jason;GBR;False
VIVIANI Elia;ITA;False
Great Britain;GBR;True
LIGTLEE Elis;NED;False
TROTT Laura;GBR;False
VOGEL Kristina;GER;False
Gong / Zhong;CHN;True
CHEN Aisen;CHN;False
CAO Yuan;CHN;False
Lin / Chen;CHN;True
Laugher / Mears;GBR;True
REN Qian;CHN;False
SHI Tingmao;CHN;False
Liu / Chen;CHN;True
Wu / Shi;CHN;True
DUJARDIN Charlotte;GBR;False
JUNG Michael;GER;False
France;FRA;True
SKELTON Nick;GBR;False
PARK Sangyoung;KOR;False
GAROZZO Daniele;ITA;False
Russian Federation;RUS;True
SZILAGYI Aron;HUN;False
SZASZ Emese;HUN;False
Romania;ROU;True
DERIGLAZOVA Inna;RUS;False
EGORIAN Yana;RUS;False
Brazil;BRA;True
ROSE Justin;GBR;False
PARK Inbee;KOR;False
Denmark;DEN;True
Argentina;ARG;True
KRPALEK Lukas;CZE;False
MUDRANOV Beslan;RUS;False
BASILE Fabio;ITA;False
ONO Shohei;JPN;False
KHALMURZAEV Khasan;RUS;False
BAKER Mashu;JPN;False
RINER Teddy;FRA;False
PARETO Paula;ARG;False
KELMENDI Majlinda;KOS;False
SILVA Rafaela;BRA;False
TRSTENJAK Tina;SLO;False
TACHIMOTO Haruka;JPN;False
HARRISON Kayla;USA;False
ANDEOL Emilie;FRA;False
WEERTMAN Ferry;NED;False
VAN ROUWENDAAL Sharon;NED;False
LESUN Alexander;RUS;False
ESPOSITO Chloe;AUS;False
MAMUN Margarita;RUS;False
Azou / Houin;FRA;True
Switzerland;SUI;True
Head / Paulis;NED;True
Sinkovic / Sinkovic;CRO;True
Bond / Murray;NZL;True
DRYSDALE Mahe;NZL;False
Fularczyk-Kozlowska / Madaj;POL;True
Glover / Stanning;GBR;True
BRENNAN Kimberley;AUS;False
Fiji;FIJ;True
Australia;AUS;True
Fantela / Marenic;CRO;True
Clark / Mills;GBR;True
Kunze / Grael;BRA;True
Burling / Tuke;NZL;True
SCOTT Giles;GBR;False
BURTON Tom;AUS;False
BOUWMEESTER Marit;NED;False
Lange / Carranza Saroli;ARG;True
VAN RIJSSELBERGHE Dorian;NED;False
PICON Charline;FRA;False
HOANG Xuan Vinh;VIE;False
ZHANG Mengxue;CHN;False
CAMPRIANI Niccolo;ITA;False
THRASHER Virginia;USA;False
KORAKAKI Anna;GRE;False
REITZ Christian;GER;False
JIN Jongoh;KOR;False
ENGLEDER Barbara;GER;False
JUNGHAENEL Henri;GER;False
ALDEEHANI Fehaid;IOA;False
ROSSETTI Gabriele;ITA;False
BACOSI Diana;ITA;False
GLASNOVIC Josip;CRO;False
SKINNER Catherine;AUS;False
MURPHY Ryan;USA;False
PEATY Adam;GBR;False
SCHOOLING Joseph;SIN;False
CHALMERS Kyle;AUS;False
PALTRINIERI Gregorio;ITA;False
BALANDIN Dmitriy;KAZ;False
PHELPS Michael;USA;False
SUN Yang;CHN;False
HORTON Mack;AUS;False
HAGINO Kosuke;JPN;False
ERVIN Anthony;USA;False
HOSSZU Katinka;HUN;False
KING Lilly;USA;False
SJOSTROM Sarah;SWE;False
OLEKSIAK Penny;CAN;False
MANUEL Simone;USA;False
DIRADO Madeline;USA;False
KANETO Rie;JPN;False
BELMONTE GARCIA Mireia;ESP;False
LEDECKY Katie;USA;False
BLUME Pernille;DEN;False
Ishchenko / Romashina;RUS;True
MA Long;CHN;False
China;CHN;True
DING Ning;CHN;False
ZHAO Shuai;CHN;False
ABUGHAUSH Ahmad;JOR;False
CISSE Cheick Sallah Junior;CIV;False
ISAEV Radik;AZE;False
KIM Sohui;KOR;False
JONES Jade;GBR;False
OH Hyeri;KOR;False
ZHENG Shuyin;CHN;False
Lopez / Nadal;ESP;True
MURRAY Andy;GBR;False
Sock / Mattek-Sands;USA;True
Makarova / Vesnina;RUS;True
PUIG Monica;PUR;False
HANCHAROU Uladzislau;BLR;False
MACLENNAN Rosannagh;CAN;False
BROWNLEE Alistair;GBR;False
JORGENSEN Gwen;USA;False
Serbia;SRB;True
TALAKHADZE Lasha;GEO;False
NURUDINOV Ruslan;UZB;False
LONG Qingquan;CHN;False
FIGUEROA MOSQUERA Oscar Albeiro;COL;False
SHI Zhiyong;CHN;False
RAHIMOV Nijat;KAZ;False
ROSTAMI Kianoush;IRI;False
MORADI Sohrab;IRI;False
MENG Suping;CHN;False
TANASAN Sopita;THA;False
HSU Shu-Ching;TPE;False
SRISURAT Sukanya;THA;False
DENG Wei;CHN;False
XIANG Yanmei;CHN;False
RIM Jong Sim;PRK;False
AKGUL Taha;TUR;False
KHINCHEGASHVILI Vladimer;GEO;False
RAMONOV Soslan;RUS;False
YAZDANICHARATI Hassan Aliazam;IRI;False
SADULAEV Abdulrashid;RUS;False
SNYDER Kyle Frederick;USA;False
LOPEZ NUNEZ Mijain;CUB;False
BORRERO MOLINA Ismael;CUB;False
STEFANEK Davor;SRB;False
VLASOV Roman;RUS;False
CHAKVETADZE Davit;RUS;False
ALEKSANYAN Artur;ARM;False
TOSAKA Eri;JPN;False
MAROULIS Helen Louise;USA;False
ICHO Kaori;JPN;False
KAWAI Risako;JPN;False
DOSHO Sara;JPN;False
WIEBE Erica Elizabeth;CAN;False
VALLADONT Jean-Charles;FRA;False
UNRUH Lisa;GER;False
HYPOLITO Diego;BRA;False
LEYVA Danell;USA;False
SMITH Louis;GBR;False
ZANETTI Arthur;BRA;False
ABLIAZIN Denis;RUS;False
HERNANDEZ Lauren;USA;False
RAISMAN Alexandra;USA;False
KOCIAN Madison;USA;False
PASEKA Maria;RUS;False
TANUI Paul Kipngetich;KEN;False
GATLIN Justin;USA;False
ORTEGA Orlando;ESP;False
MAKHLOUFI Taoufik;ALG;False
DE GRASSE Andre;CAN;False
CAI Zelin;CHN;False
JAGER Evan;USA;False
JAMES Kirani;GRN;False
TUMUTI Boniface Mucheru;KEN;False
CHELIMO Paul Kipkemoi;USA;False
TALLENT Jared;AUS;False
MAYER Kevin;FRA;False
MALACHOWSKI Piotr;POL;False
TSIKHAN Ivan;BLR;False
BARSHIM Mutaz Essa;QAT;False
YEGO Julius;KEN;False
MANYONGA Luvo;RSA;False
LILESA Feyisa;ETH;False
LAVILLENIE Renaud;FRA;False
KOVACS Joe;USA;False
CLAYE Will;USA;False
BOWIE Tori;USA;False
ALI Nia;USA;False
DIBABA Genzebe;ETH;False
SCHIPPERS Dafne;NED;False
GONZALEZ Maria Guadalupe;MEX;False
JEPKEMOI Hyvin Kiyeng;KEN;False
FELIX Allyson;USA;False
PETERSEN Sara Slott;DEN;False
OBIRI Hellen Onsando;KEN;False
NIYONSABA Francine;BDI;False
ROBERT-MICHON Melina;FRA;False
ZHANG Wenxiu;CHN;False
ENNIS-HILL Jessica;GBR;False
DEMIREVA Mirela;BUL;False
VILJOEN Sunette;RSA;False
REESE Brittney;USA;False
KIRWA Eunice Jepkirui;BRN;False
MORRIS Sandi;USA;False
ADAMS Valerie;NZL;False
ROJAS Yulimar;VEN;False
Goh / Tan;MAS;True
LEE Chong Wei;MAS;False
Chan / Goh;MAS;True
Rytter juhl / Pedersen;DEN;True
PUSARLA V. Sindhu;IND;False
Spain;ESP;True
Nicolai / Lupo;ITA;True
Bednarczuk / Seixas de Freitas;BRA;True
STEVENSON Shakur;USA;False
ALOIAN Misha;RUS;False
LEVIT Vassiliy;KAZ;False
OUMIHA Sofiane;FRA;False
MARTINEZ Yurberjen Herney;COL;False
NIYAZYMBETOV Adilbek;KAZ;False
SOTOMAYOR COLLAZO Lorenzo;AZE;False
MELIKUZIEV Bektemir;UZB;False
JOYCE Joe;GBR;False
GIYASOV Shakhram;UZB;False
OURAHMOUNE Sarah;FRA;False
YIN Junhua;CHN;False
FONTIJN Nouchka;NED;False
Florence / Hounslow;GBR;True
BENUS Matej;SVK;False
KAUZER Peter;SLO;False
JONES Luuka;NZL;False
de Souza Silva / Queiroz dos Santos;BRA;True
QUEIROZ DOS SANTOS Isaquias;BRA;False
DEMYANENKO Valentin;AZE;False
Tomicevic / Zoric;SRB;True
Heath / Schofield;GBR;True
Slovakia;SVK;True
DOSTAL Josef;CZE;False
BEAUMONT Maxime;FRA;False
Dietze / Weber;GER;True
WALCZYKIEWICZ Marta;POL;False
JORGENSEN Emma;DEN;False
VAN GORKOM Jelle;NED;False
POST Alise;USA;False
KULHAVY Jaroslav;CZE;False
WLOSZCZOWSKA Maja;POL;False
DUMOULIN Tom;NED;False
FUGLSANG Jakob;DEN;False
ZABELINSKAYA Olga;RUS;False
JOHANSSON Emma;SWE;False
BUCHLI Matthijs;NED;False
CAVENDISH Mark;GBR;False
SKINNER Callum;GBR;False
New Zealand;NZL;True
JAMES Rebecca;GBR;False
HAMMER Sarah;USA;False
Voinova / Shmeleva;RUS;True
SANCHEZ German;MEX;False
LAUGHER Jack;GBR;False
Boudia / Johnson;USA;True
Dorman / Hixon;USA;True
SI Yajie;CHN;False
HE Zi;CHN;False
Cheong / Pamg;MAS;True
Cagnotto / Dallape';ITA;True
WERTH Isabell;GER;False
NICOLAS Astier;FRA;False
FREDRICSON Peder;SWE;False
IMRE Geza;HUN;False
Italy;ITA;True
MASSIALAS Alexander;USA;False
HOMER Daryl;USA;False
FIAMINGO Rossella;ITA;False
DI FRANCISCA Elisa;ITA;False
VELIKAYA Sofya;RUS;False
Ukraine;UKR;True
Sweden;SWE;True
STENSON Henrik;SWE;False
KO Lydia;NZL;False
Belgium;BEL;True
Netherlands;NED;True
GASIMOV Elmar;AZE;False
SMETOV Yeldos;KAZ;False
AN Baul;KOR;False
ORUJOV Rustam;AZE;False
STEVENS Travis;USA;False
LIPARTELIANI Varlam;GEO;False
HARASAWA Hisayoshi;JPN;False
JEONG Bokyeong;KOR;False
GIUFFRIDA Odette;ITA;False
DORJSUREN Sumiya;MGL;False
AGBEGNENOU Clarisse;FRA;False
ALVEAR Yuri;COL;False
TCHEUMEO Audrey;FRA;False
ORTIZ Idalys;CUB;False
GIANNIOTIS Spiros;GRE;False
BRUNI Rachele;ITA;False
TYMOSHCHENKO Pavlo;UKR;False
CLOUVEL Elodie;FRA;False
KUDRYAVTSEVA Yana;RUS;False
O'Donovan / O'Donovan;IRL;False
Jennerich / Obee;CAN;True
Griskonis / Ritter;LTU;True
Keeling / Brittain;RSA;True
MARTIN Damir;CRO;False
Grainger / Thornley;GBR;True
Behrent / Scown;NZL;True
STONE Genevra;USA;False
Belcher / Ryan;AUS;True
Aleh / Powrie;NZL;True
Maloney / Meech;NZL;True
Outteridge / Jensen;AUS;True
ZBOGAR Vasilij;SLO;False
STIPANOVIC Tonci;CRO;False
MURPHY Annalise;IRL;False
Darmanin / Waterhouse;AUS;True
DEMPSEY Nick;GBR;False
CHEN Peina;CHN;False
WU Felipe Almeida;BRA;False
BATSARASHKINA Vitalina;RUS;False
KULISH Serhiy;UKR;False
DU Li;CHN;False
KARSCH Monika;GER;False
QUIQUAMPOIX Jean;FRA;False
KAMENSKIY Sergey;RUS;False
ZHANG Binbin;CHN;False
KIM Jonghyun;KOR;False
INNOCENTI Marco;ITA;False
SVENSSON Marcus;SWE;False
CAINERO Chiara;ITA;False
PELLIELO Giovanni;ITA;False
ROONEY Natalie;NZL;False
XU Jiayu;CHN;False
VAN DER BURGH Cameron;RSA;False
PHELPS Michael;USA;False
CSEH Laszlo;HUN;False
LE CLOS Chad Guy Bertrand;RSA;False
TIMMERS Pieter;BEL;False
JAEGER Connor;USA;False
LARKIN Mitchell;AUS;False
PRENOT Josh;USA;False
SAKAI Masato;JPN;False
KALISZ Chase;USA;False
MANAUDOU Florent;FRA;False
BAKER Kathleen;USA;False
EFIMOVA Yulia;RUS;False
OLEKSIAK Penny;CAN;False
GROVES Madeline;AUS;False
O'CONNOR Siobhan-Marie;GBR;False
CARLIN Jazz;GBR;False
Huang / Sun;CHN;True
ZHANG Jike;CHN;False
LI Xiaoxia;CHN;False
HANPRAB Tawin;THA;False
DENISENKO Alexey;RUS;False
MUHAMMAD Lutalo;GBR;False
ISSOUFOU ALFAGA Abdoulrazak;NIG;False
BOGDANOVIC Tijana;SRB;False
CALVO GOMEZ Eva;ESP;False
NIARE Haby;FRA;False
ESPINOZA ESPINOZA Maria del Rosario;MEX;False
Mergea / Tecau;ROU;True
DEL POTRO Juan Martin;ARG;False
Williams / Ram;USA;True
Bacsinszky / Hingis;SUI;True
KERBER Angelique;GER;False
DONG Dong;CHN;False
PAGE Bryony;GBR;False
BROWNLEE Jonathan;GBR;False
SPIRIG HUG Nicola;SUI;False
Croatia;CRO;True
MINASYAN Gor;ARM;False
MARTIROSYAN Simon;ARM;False
OM Yun Chol;PRK;False
IRAWAN Eko Yuli;INA;False
ISMAYILOV Daniyar;TUR;False
LYU Xiaojun;CHN;False
TIAN Tao;CHN;False
STRALTSOU Vadzim;BLR;False
KIM Kuk Hyang;PRK;False
AGUSTIANI Sri Wahyuni;INA;False
DIAZ Hidilyn;PHI;False
SIRIKAEW Pimsiri;THA;False
CHOE Hyo Sim;PRK;False
ZHAPPARKUL Zhazira;KAZ;False
NAUMAVA Darya;BLR;False
GHASEMI Komeil Nemat;IRI;False
HIGUCHI Rei;JPN;False
ASGAROV Toghrul;AZE;False
GEDUEV Aniuar;RUS;False
YASAR Selim;TUR;False
GOZIUMOV Khetag;AZE;False
KAYAALP Riza;TUR;False
OTA Shinobu;JPN;False
ARUTYUNYAN Migran;ARM;False
MADSEN Mark Overgaard;DEN;False
BELENIUK Zhan;UKR;False
LUGO CABRERA Yasmany Daniel;CUB;False
STADNIK Mariya;AZE;False
YOSHIDA Saori;JPN;False
KOBLOVA ZHOLOBOVA Valeriia;RUS;False
MAMASHUK Maryia;BLR;False
VOROBEVA Natalia;RUS;False
MANYUROVA Guzel;KAZ;False
ELLISON Brady;USA;False
KI Bobae;KOR;False
Taipei (Cn Taipei);TPE;True
MARIANO Arthur;BRA;False
WILSON Nile;GBR;False
BELYAVSKIY David;RUS;False
NADDOUR Alexander;USA;False
SHIRAI Kenzo;JPN;False
TINKLER Amy;GBR;False
SCHEDER Sophie;GER;False
STEINGRUBER Giulia;SUI;False
TOLA Tamirat;ETH;False
BASCOU Dimitri;FRA;False
WILLIS Nicholas;NZL;False
LEMAITRE Christophe;FRA;False
BIRD-SMITH Dane;AUS;False
MEKHISSI Mahiedine;FRA;False
Canada;CAN;True
Bahamas;BAH;True
MERRITT Lashawn;USA;False
COPELLO Yasmani;TUR;False
GEBRHIWET Hagos;ETH;False
ARAI Hirooki;JPN;False
MURPHY Clayton;USA;False
WARNER Damian;CAN;False
JASINSKI Daniel;GER;False
NOWICKI Wojciech;POL;False
BONDARENKO Bohdan;UKR;False
WALCOTT Keshorn;TTO;False
RUTHERFORD Greg;GBR;False
RUPP Galen;USA;False
KENDRICKS Sam;USA;False
WALSH Tomas;NZL;False
DONG Bin;CHN;False
DIBABA Tirunesh;ETH;False
FRASER-PRYCE Shelly-Ann;JAM;False
CASTLIN Kristi;USA;False
SIMPSON Jennifer;USA;False
LU Xiuzhi;CHN;False
COBURN Emma;USA;False
JACKSON Shericka;JAM;False
SPENCER Ashley;USA;False
WAMBUI Margaret Nyairera;KEN;False
CABALLERO Denia;CUB;False
HITCHON Sophie;GBR;False
THEISEN EATON Brianne;CAN;False
VLASIC Blanka;CRO;False
SPOTAKOVA Barbora;CZE;False
SPANOVIC Ivana;SRB;False
DIBABA Mare;ETH;False
MCCARTNEY Eliza;NZL;False
MARTON Anita;HUN;False
RYPAKOVA Olga;KAZ;False
Ellis / Langridge;GBR;True
AXELSEN Viktor;DEN;False
Zhang / Zhao;CHN;True
Jung / Shin;KOR;True
OKUHARA Nozomi;JPN;False
Meeuwsen / Brouwer;NED;True
Ross / Walsh Jennings;USA;True
NIKITIN Vladimir;RUS;False
FINOL Yoel Segundo;VEN;False
TULAGANOV Rustam;UZB;False
ALVAREZ Lazaro Jorge;CUB;False
HERNANDEZ Nico Miguel;USA;False
BUATSI Joshua;GBR;False
HARUTYUNYAN Artem;GER;False
RODRIGUEZ Misael Uziel;MEX;False
DYCHKO Ivan;KAZ;False
CISSOKHO Souleymane Diop;FRA;False
VALENCIA VICTORIA Ingrit Lorena;COL;False
BELIAKOVA Anastasiia;RUS;False
LI Qian;CHN;False
Peche / Klauss;FRA;True
HANEDA Takuya;JPN;False
PRSKAVEC Jiri;CZE;False
FOX Jessica;AUS;False
Ianchuk / Mishchuk;UKR;True
TARNOVSCHI Serghei;MDA;False
Tame / Wallace;AUS;True
Ramanauskas / Lankas;LTU;True
Czech Republic;CZE;True
ANOSHKIN Roman;RUS;False
CRAVIOTTO Saul;ESP;False
Mikolajczyk / Naja;POL;True
Belarus;BLR;True
OSIPENKO-RODOMSKA Inna;AZE;False
RAMIREZ YEPES Carlos Alberto;COL;False
HERNANDEZ Stefany;VEN;False
COLOMA NICOLAS Carlos;ESP;False
PENDREL Catharine;CAN;False
FROOME Christopher;GBR;False
MAJKA Rafal;POL;False
LONGO BORGHINI Elisa;ITA;False
AWANG Azizulhasni;MAS;False
HANSEN Lasse Norman;DEN;False
DMITRIEV Denis;RUS;False
MEARES Anna;AUS;False
D'HOORE Jolien;BEL;False
MARCHANT Katy;GBR;False
Vogel / Welte;GER;True
BOUDIA David;USA;False
HAUSDING Patrick;GER;False
Daley / Goodfellow;GBR;True
Cao / Qin;CHN;True
BENFEITO Meaghan;CAN;False
CAGNOTTO Tania;ITA;False
Benfeito / Filion;CAN;True
Keeney / Smith;AUS;True
BRORING-SPREHE Kristina;GER;False
DUTTON Phillip;USA;False
LAMAZE Eric;CAN;False
GRUMIER Gauthier;FRA;False
SAFIN Timur;RUS;False
KIM Junghwan;KOR;False
SUN Yiwen;CHN;False
BOUBAKRI Ines;TUN;False
KHARLAN Olga;UKR;False
Nigeria;NGR;True
KUCHAR Matt;USA;False
FENG Shanshan;CHN;False
Norway;NOR;True
HAGA Ryunosuke;JPN;False
UROZBOEV Diyorbek;UZB;False
SOBIROV Rishod;UZB;False
VAN TICHELT Dirk;BEL;False
TOMA Sergiu;UAE;False
CHENG Xunzhao;CHN;False
SASSON Or;ISR;False
KONDO Ami;JPN;False
NAKAMURA Misato;JPN;False
MONTEIRO Telma;POR;False
GERBI Yarden;ISR;False
CONWAY Sally;GBR;False
VELENSEK Anamari;SLO;False
YU Song;CHN;False
OLIVIER Marc-Antoine;FRA;False
OKIMOTO Poliana;BRA;False
HERNANDEZ USCANGA Ismael Marcelo;MEX;False
NOWACKA Oktawia;POL;False
Bulgaria;BUL;True
RIZATDINOVA Ganna;UKR;False
Strandli / Brun;NOR;True
Huang / Pan;CHN;True
Tufte / Borch;NOR;True
DI COSTANZO / Abagnale;ITA;False
Estonia;EST;True
SYNEK Ondrej;CZE;False
Vistartaite / Valciukaite;LTU;True
Andersen / Rasmussen;DEN;True
Poland;POL;True
DUAN Jingli;CHN;False
South Africa;RSA;True
Mantis / Kagialis;GRE;True
Defrance / Lecointre;FRA;True
Salskov-Iversen / Hansen;DEN;True
Heil / Ploessel;GER;True
PAINE Caleb;USA;False
MEECH Sam;NZL;False
RINDOM Anne-Marie;DEN;False
Frank / Zajac;AUT;True
LE COQ Pierre;FRA;False
ELFUTINA Stefaniya;RUS;False
PANG Wei;CHN;False
MASLENNIKOV Vladimir;RUS;False
YI Siling;CHN;False
DIETHELM GERBER Heidi;SUI;False
LI Yuehong;CHN;False
KIM Song Guk;PRK;False
RAYNAUD Alexis;FRA;False
GRIGORYAN Kirill;RUS;False
SCOTT Steven;GBR;False
ALRASHIDI Abdullah;IOA;False
RHODE Kimberly;USA;False
LING Edward;GBR;False
COGDELL Corey;USA;False
PLUMMER David;USA;False
MILLER Cody;USA;False
ADRIAN Nathan;USA;False
DETTI Gabriele;ITA;False
RYLOV Evgeny;RUS;False
CHUPKOV Anton;RUS;False
KENDERESI Tamas;HUN;False
DWYER Conor;USA;False
WANG Shun;CHN;False
SETO Daiya;JPN;False
MASSE Kylie;CAN;False
MEILI Catherine;USA;False
VOLLMER Dana;USA;False
CALDWELL Hilary;CAN;False
SHI Jinglin;CHN;False
HOSHI Natsumi;JPN;False
MCKEON Emma;AUS;False
SMITH Leah;USA;False
HERASIMENIA Aliaksandra;BLR;False
KAPAS Boglarka;HUN;False
Inui / Mitsui;JPN;True
MIZUTANI Jun;JPN;False
KIM Song I;PRK;False
PIE Luisito;DOM;False
GONZALEZ BONILLA Joel;ESP;False
OUESLATI Oussama;TUN;False
SIQUEIRA Maicon;BRA;False
WONGPATTANAKIT Panipak;THA;False
WAHBA Hedaya;EGY;False
GBAGBI Ruth Marie Christelle;CIV;False
GALLOWAY Jackie;USA;False
Sock / Johnson;USA;True
NISHIKORI Kei;JPN;False
Hradecka / Stepanek;CZE;True
Safarova / Strycova;CZE;True
KVITOVA Petra;CZE;False
GAO Lei;CHN;False
LI Dan;CHN;False
SCHOEMAN Henri;RSA;False
HOLLAND Vicky;GBR;False
TURMANIDZE Irakli;GEO;False
ZAICHIKOV Alexandr;KAZ;False
KRUAITHONG Sinphet;THA;False
KHARKI Farkhad;KAZ;False
MOSQUERA LOZANO Luis Javier;COL;False
MAHMOUD Mohamed;EGY;False
SINCRAIAN Gabriel;ROU;False
DIDZBALIS Aurimas;LTU;False
ROBLES Sarah Elizabeth;USA;False
MIYAKE Hiromi;JPN;False
YOON Jin Hee;KOR;False
KUO Hsing-Chun;TPE;False
GORICHEVA Karina;KAZ;False
AHMED Sara;EGY;False
VALENTIN PEREZ Lidia;ESP;False
PETRIASHVILI Geno;GEO;False
RAHIMI Hassan Sabzali;IRI;False
NAVRUZOV Ikhtiyor;UZB;False
HASANOV Jabrayil;AZE;False
SHARIFOV Sharif;AZE;False
SARITOV Albert;ROU;False
SEMENOV Sergey;RUS;False
BERGE Stig-Andre;NOR;False
CHUNAYEV Rasul;AZE;False
ABDVALI Saeid Morad;IRI;False
HAMZATAU Javid;BLR;False
ILDEM Cenk;TUR;False
SUN Yanan;CHN;False
SINISHIN Natalya;AZE;False
MALIK Sakshi;IND;False
MICHALIK Monika Ewa;POL;False
SYZDYKOVA Elmira;KAZ;False
ZHANG Fengliu;CHN;False
AKHMADALIEV Murodjon;UZB;False
HU Jianguan;CHN;False
SAVON Erislandy;CUB;False
DORJNYAMBUU Otgondalai;MGL;False
ARGILAGOS Joahnys;CUB;False
BAUDERLIQUE Mathieu Albert Daniel;FRA;False
DUNAYTSEV Vitaly;RUS;False
SHAKHSUVARLY Kamran;AZE;False
HRGOVIC Filip;CRO;False
RABII Mohammed;MAR;False
REN Cancan;CHN;False
POTKONEN Mira;FIN;False
SHAKIMOVA Dariga;KAZ;False
RAUHE Ronald;GER;False
MARET Cyrille;FRA;False
TAKATO Naohisa;JPN;False
EBINUMA Masashi;JPN;False
SHAVDATUASHVILI Lasha;GEO;False
NAGASE Takanori;JPN;False
GWAK Donghan;KOR;False
SILVA Rafael;BRA;False
GALBADRAKH Otgontsetseg;KAZ;False
KUZIUTINA Natalia;RUS;False
MATSUMOTO Kaori;JPN;False
VAN EMDEN Anicka;NED;False
VARGAS KOCH Laura;GER;False
AGUIAR Mayra;BRA;False
YAMABE Kanae;JPN;False
FU Yuanhui;CHN;False
KIM Taehun;KOR;False
LEE Daehoon;KOR;False
BEIGI HARCHEGANI Milad;AZE;False
CHA Dongmin;KOR;False
ABAKAROVA Patimat;AZE;False
ALIZADEH ZENOORIN Kimia;IRI;False
TATAR Nur;TUR;False
WALKDEN Bianca;GBR;False
SAIDAU Ibrahim;BLR;False
ALIYEV Haji;AZE;False
CHAMIZO MARQUEZ Frank;ITA;False
DEMIRTAS Soner;TUR;False
COX J'den Michael Tbory;USA;False
IBRAGIMOV Magomed Idrisovitch;UZB;False
SHARIATI Sabah;AZE;False
TASMURADOV Elmurat;UZB;False
BOLKVADZE Shmagi;GEO;False
KIM Hyeonwoo;KOR;False
KUDLA Denis Maksymilian;GER;False
REZAEI Ghasem Gholamreza;IRI;False
YANKOVA Elitsa Atanasova;BUL;False
MATTSSON Sofia Magdalena;SWE;False
AMRI Marwa;TUN;False
LARIONOVA Yekaterina;KAZ;False
FRANSSON Anna Jenny;SWE;False
BUKINA Ekaterina;RUS;False
